shop_name,shop_type,shop_star_rating,shop_address,월opening_hours,월last_order_time,화opening_hours,화last_order_time,수opening_hours,수last_order_time,목opening_hours,목last_order_time,금opening_hours,금last_order_time,토opening_hours,토last_order_time,일opening_hours,일last_order_time,shop_contact
고릴라요정,요리주점,4.68,서울 마포구 동교로51길 129-10 두루미,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1370-5133
이마치,요리주점,4.5,서울 마포구 성미산로29안길 19-7 2층 이마치 (1층은 심원 한 층 더 올라오세요),정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1396-8557
달빛부엌,요리주점,4.5,서울 마포구 성미산로29안길 19-7 2층 이마치 (1층은 심원 한 층 더 올라오세요),휴무,정보 없음,14:30-23:00,22:00,14:30-23:00,22:00,14:30-23:00,22:00,14:30-23:00,22:00,14:30-23:00,22:00,14:30-23:00,정보 없음,0507-1396-8557
이와나시,요리주점,4.65,서울 마포구 성미산로 190-8 2층 이와나시,휴무,정보 없음,휴무,정보 없음,정보 없음,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-25:00,정보 없음,17:00-24:00,정보 없음,02-336-3445
무취포차,요리주점,4.65,서울 마포구 성미산로 190-8 2층 이와나시,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,02-336-3445
연남동미로끝,요리주점,정보 없음,서울 마포구 성미산로 190-4 지1층,정보 없음,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-27:00,정보 없음,18:00-27:00,정보 없음,18:00-25:00,정보 없음,0507-1383-1917
연남국자,요리주점,정보 없음,서울 마포구 동교로39길 7 1층,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,0507-1409-1194
차차밀로,요리주점,4.95,서울 마포구 동교로38길 33-12 2층 202호,휴무,정보 없음,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-25:00,00:00,15:00-25:00,00:00,15:00-25:00,정보 없음,02-6085-7082
덕자도요,요리주점,4.95,서울 마포구 동교로38길 33-12 2층 202호,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,02-6085-7082
맡기다,요리주점,정보 없음,서울 마포구 동교로38길 12,휴무,정보 없음,18:00-26:00,00:30,18:00-26:00,00:30,18:00-26:00,00:30,18:00-26:00,00:30,18:00-26:00,00:30,18:00-26:00,정보 없음,0507-1474-2590
한잔하다,요리주점,정보 없음,서울 마포구 동교로34길 9 2층,17:00-24:00,23:00,17:00-24:00,23:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,16:00-25:00,00:00,16:00-24:00,23:00,0507-1392-8655
편씨푸드,요리주점,정보 없음,서울 마포구 동교로38안길 7 지하1층,휴무,정보 없음,17:00-24:00,23:00,17:00-24:00,23:00,17:00-24:00,23:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-24:00,정보 없음,0507-1492-2041
애주당 연남점,술집,정보 없음,서울 마포구 동교로38길 27-5 1층,휴무,정보 없음,17:00-23:00,22:00,17:00-23:00,22:00,17:00-23:00,22:00,17:00-24:00,23:00,16:00-24:00,23:00,16:00-23:00,정보 없음,02-6080-1957
등불서양주점,요리주점,4.21,서울 마포구 성미산로 190-11 반지층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,02-333-0368
기 호,요리주점,4.21,서울 마포구 성미산로 190-11 반지층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,16:00-25:00,정보 없음,16:00-25:00,정보 없음,17:00-24:00,정보 없음,0507-1341-4026
우주옥,요리주점,정보 없음,서울 마포구 동교로50길 11 B02 우주옥,18:00-24:00,22:30,휴무,정보 없음,18:00-24:00,22:30,18:00-24:00,22:30,18:00-24:00,22:30,18:00-24:00,22:30,18:00-24:00,22:30,0507-1363-4812
온기,요리주점,4.55,서울 마포구 연남로3길 7 지하1층 101호,11:30-14:00,13:00,11:30-23:00,14:00 - 17:00 브레이크타임,11:30-23:00,14:00 - 17:00 브레이크타임,11:30-23:00,14:00 - 17:00 브레이크타임,11:30-23:00,14:00 - 17:00 브레이크타임,17:00-23:00,22:00,휴무,13:00,0507-1346-3656
팜팜발리,와인,4.55,서울 마포구 연남로3길 7 지하1층 101호,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1346-3656
제이드럭,요리주점,4.63,서울 마포구 동교로38길 13 반지층,정보 없음,정보 없음,17:00-25:00,00:00,휴무,정보 없음,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,정보 없음,0507-1360-5086
여의주점,요리주점,4.63,서울 마포구 동교로38길 13 반지층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1360-5086
기대 연남,"맥주,호프",4.36,서울 마포구 동교로38길 33-9 9 라온오레 1층,휴무,정보 없음,13:00-25:00,00:00,13:00-25:00,00:00,13:00-25:00,00:00,13:00-25:00,00:00,13:00-25:00,00:00,13:00-25:00,정보 없음,0507-1305-1494
느린마을양조장 연남점,요리주점,4.36,서울 마포구 동교로38길 33-9 9 라온오레 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1305-1494
쨈지달,바(BAR),4.69,서울 마포구 동교로38안길 23 지층,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,16:00-24:00,정보 없음,16:00-24:00,정보 없음,0507-1371-3457
쿠루미 2호점,이자카야,4.69,서울 마포구 동교로38안길 23 지층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1371-3457
청춘소년,와인,4.5,서울 마포구 동교로46길 42-8 1층,휴무,정보 없음,정보 없음,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,15:00-25:00,정보 없음,15:00-24:00,정보 없음,070-7685-0924
빠인,와인,4.5,서울 마포구 동교로46길 42-8 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,070-7685-0924
마리연남,바(BAR),정보 없음,서울 마포구 동교로38길 29 2층,휴무,정보 없음,17:00-27:00,02:00,17:00-27:00,02:00,17:00-27:00,02:00,17:00-27:00,02:00,15:00-27:00,02:00,15:00-27:00,정보 없음,0507-1386-2460
디벨롭연남,바(BAR),4.88,서울 마포구 동교로38안길 24 1층,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-26:00,01:00,17:00-27:00,02:00,14:00-27:00,02:00,14:00-26:00,01:00,0507-1485-4848
플랜힙,"카페,디저트",4.88,서울 마포구 동교로38안길 24 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1485-4848
유메오뎅 연남점,"오뎅,꼬치",정보 없음,서울 마포구 동교로 262 1층 유메오뎅,16:00-25:30,01:00,16:00-25:30,01:00,16:00-25:30,01:00,16:00-25:30,01:00,16:00-25:30,01:00,16:00-25:30,01:00,16:00-25:30,01:00,0507-1397-1234
연남 안테이쿠,이자카야,정보 없음,서울 마포구 연희로1길 59-3 1층,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-27:00,02:00,15:00-27:00,02:00,15:00-25:00,00:00,0507-1391-1480
요즘,와인,4.95,서울 마포구 동교로32길 5 3층,16:30-23:00,정보 없음,16:30-23:00,정보 없음,16:30-23:00,정보 없음,16:30-23:00,정보 없음,16:30-25:00,정보 없음,16:30-25:00,정보 없음,16:30-22:00,정보 없음,0507-1349-9052
장작집 연남본점,요리주점,4.95,서울 마포구 동교로32길 5 3층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1349-9052
장끼전,"전통,민속주점",4.61,서울 마포구 성미산로 190-33 B1,휴무,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,010-2436-1633
루나씨엘로,와인,4.61,서울 마포구 성미산로 190-33 B1,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-2436-1633
힉스,와인,4.88,서울 마포구 동교로32길 7 2층 Higgs,정보 없음,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-24:00,정보 없음,0507-1448-1996
미자씨,요리주점,4.88,서울 마포구 동교로32길 7 2층 Higgs,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1448-1996
연남한양집,와인,정보 없음,서울 마포구 동교로46길 26 1층,16:00-24:00,23:00,휴무,정보 없음,16:00-24:00,23:00,16:00-24:00,23:00,16:00-24:00,23:00,16:00-24:00,23:00,16:00-24:00,23:00,0507-1358-0591
연남마실,바(BAR),4.62,서울 마포구 동교로51길 129-2 연남마실,휴무,정보 없음,17:00-25:00,00:30,17:00-25:00,00:30,17:00-25:00,00:30,17:00-25:00,00:30,15:00-25:00,00:30,15:00-25:00,정보 없음,010-7775-7407
잔상,와인,4.62,서울 마포구 동교로51길 129-2 연남마실,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-7775-7407
퍼시픽버블스,와인,정보 없음,서울 마포구 동교로38길 27-12 1층,휴무,정보 없음,휴무,정보 없음,휴무,정보 없음,17:00-24:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-24:00,정보 없음,정보 없음
덴 후카바 연남점,바(BAR),정보 없음,서울 마포구 동교로38길 42-6 3층,휴무,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-24:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-24:00,정보 없음,02-6352-1027
줜막걸리아노,"전통,민속주점",정보 없음,서울 마포구 동교로 248-2 2층,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,0507-1347-8843
도부,와인,정보 없음,"서울 마포구 동교로51길 77-11 1층, 도부",11:50-24:00,15:00 - 17:00 브레이크타임,휴무,정보 없음,11:50-24:00,15:00 - 17:00 브레이크타임,11:50-24:00,15:00 - 17:00 브레이크타임,11:50-24:00,15:00 - 17:00 브레이크타임,11:50-24:00,15:00 - 17:00 브레이크타임,11:50-24:00,15:00 - 17:00 브레이크타임,0507-1352-6286
이노시시 연남본점,이자카야,4.63,서울 마포구 연남동 226-16,휴무,정보 없음,18:00-24:00,22:30,18:00-24:00,22:30,18:00-24:00,22:30,18:00-24:00,22:30,18:00-24:00,22:30,휴무,정보 없음,0507-1368-7307
루프힙,바(BAR),4.63,서울 마포구 연남동 226-16,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1368-7307
연남5701,와인,4.79,서울 마포구 동교로23길 64 지하,휴무,정보 없음,18:30-23:00,정보 없음,18:30-23:00,정보 없음,18:30-23:00,정보 없음,18:30-23:00,정보 없음,18:30-23:00,정보 없음,18:30-23:00,정보 없음,0507-1344-8161
PoDo R,와인,4.79,서울 마포구 동교로23길 64 지하,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1344-8161
힠컵,와인,4.73,서울 마포구 동교로38안길 7 1층,휴무,정보 없음,17:00-24:00,22:30,17:00-24:00,22:30,17:00-24:00,22:30,17:00-24:00,22:30,17:00-24:00,22:30,17:00-24:00,정보 없음,010-2020-8231
윤달,요리주점,4.73,서울 마포구 동교로38안길 7 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-2020-8231
신군신양,바(BAR),정보 없음,서울 마포구 동교로38길 23 2층,19:00-24:00,정보 없음,19:00-24:00,정보 없음,19:00-24:00,정보 없음,19:00-24:00,정보 없음,19:00-24:00,정보 없음,18:00-25:00,정보 없음,19:00-24:00,정보 없음,070-8790-2810
오버조이드 연남,바(BAR),정보 없음,서울 마포구 동교로38안길 21 지하1층,18:00-25:00,정보 없음,정보 없음,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,0507-1362-2792
쿠보,이자카야,정보 없음,서울 마포구 동교로 258-1 2층,17:00-26:00,정보 없음,17:00-26:00,정보 없음,휴무,정보 없음,17:00-26:00,정보 없음,17:00-27:00,정보 없음,16:00-27:00,정보 없음,16:00-26:00,정보 없음,0507-1359-4352
숨은골목,"전통,민속주점",4.65,서울 마포구 성미산로 190-8 2층 이와나시,휴무,정보 없음,휴무,정보 없음,정보 없음,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-25:00,정보 없음,17:00-24:00,정보 없음,02-336-3445
어반써티연남,바(BAR),정보 없음,서울 마포구 동교로46길 40 지1층,휴무,정보 없음,16:00-24:00,정보 없음,16:00-24:00,정보 없음,16:00-24:00,정보 없음,16:00-24:00,정보 없음,16:00-24:00,정보 없음,16:00-24:00,정보 없음,0507-1331-5306
연남파도,이자카야,정보 없음,서울 마포구 성미산로 153-14 2층,휴무,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,010-3443-6756
야키토리 지중,이자카야,4.36,서울 마포구 동교로29길 32,정보 없음,정보 없음,18:00-26:00,01:30,18:00-26:00,01:30,18:00-26:00,01:30,18:00-26:00,01:30,18:00-26:00,01:30,18:00-26:00,정보 없음,02-325-5050
연남동 오뎅파는집,"오뎅,꼬치",4.36,서울 마포구 동교로29길 32,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,02-325-5050
레이트체크아웃,와인,정보 없음,서울 마포구 동교로 262-9 2층,휴무,정보 없음,15:00-24:00,정보 없음,15:00-24:00,정보 없음,15:00-24:00,정보 없음,15:00-24:00,정보 없음,12:00-24:00,정보 없음,12:00-24:00,정보 없음,0507-1399-2524
미드나잇라운지,바(BAR),4.57,서울 마포구 성미산로 190-4 2층 202호 미드나잇,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,19:00-27:00,정보 없음,0507-1378-9170
스필아웃,"맥주,호프",4.57,서울 마포구 성미산로 190-4 2층 202호 미드나잇,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1378-9170
캔슬링,바(BAR),정보 없음,서울 마포구 동교로 262 3층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-7356-7669
물레방아,와인,4.57,서울 마포구 성미산로 161-10 물레방아,18:00-28:00,정보 없음,18:00-28:00,정보 없음,18:00-28:00,정보 없음,18:00-28:00,정보 없음,18:00-28:00,정보 없음,15:00-28:00,정보 없음,15:00-28:00,정보 없음,0507-1320-3890
꼬모,와인,4.57,서울 마포구 성미산로 161-10 물레방아,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1320-3890
아디오도시 파리,와인,4.75,서울 마포구 동교로46길 7 지하 아디오도시,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,0507-1407-9342
크래프트원,"맥주,호프",4.75,서울 마포구 동교로46길 7 지하 아디오도시,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1407-9342
브래디스 칵테일,바(BAR),4.82,서울 마포구 성미산로23안길 23 1층,휴무,정보 없음,14:00-23:00,정보 없음,14:00-23:00,정보 없음,14:00-23:00,정보 없음,14:00-23:00,정보 없음,14:00-23:00,정보 없음,14:00-23:00,정보 없음,02-6954-1929
개화연,바(BAR),4.82,서울 마포구 성미산로23안길 23 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,02-6954-1929
더티핑크,바(BAR),4.35,서울 마포구 성미산로 194 지층1호,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,18:00-27:00,정보 없음,17:00-25:00,정보 없음,010-7220-3072
영지인 연남점,요리주점,4.35,서울 마포구 성미산로 194 지층1호,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-7220-3072
바결,바(BAR),4.43,서울 마포구 동교로34길 17 102호,19:00-25:00,정보 없음,휴무,정보 없음,19:00-25:00,정보 없음,19:00-25:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,0507-1336-0459
하뭇,바(BAR),4.43,서울 마포구 동교로34길 17 102호,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1336-0459
히로,이자카야,정보 없음,서울 마포구 동교로 276 2층,14:00-26:00,01:30,14:00-26:00,01:30,14:00-26:00,01:30,14:00-26:00,01:30,14:00-28:00,03:30,14:00-28:00,03:30,14:00-26:00,01:30,0507-1407-4795
수을관,요리주점,5,서울 마포구 동교로38길 19 2.5층,휴무,정보 없음,정보 없음,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,0507-1375-0207
현대음률,바(BAR),5,서울 마포구 동교로38길 19 2.5층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,050-6818-8180
케이브,바(BAR),정보 없음,서울 마포구 성미산로 193,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,휴무,정보 없음,010-4899-5362
화월 카게츠 연남점,이자카야,정보 없음,서울 마포구 동교로38길 20 지1층 102호,휴무,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-26:00,정보 없음,17:00-26:00,정보 없음,17:00-25:00,정보 없음,0507-1342-3907
제이앤제이슨 R,바(BAR),4.76,서울 마포구 동교로 255-1 지층,정보 없음,정보 없음,정보 없음,정보 없음,19:00-28:00,정보 없음,19:00-28:00,정보 없음,19:00-28:00,정보 없음,19:00-28:00,정보 없음,19:00-28:00,정보 없음,0507-1339-0606
33YUKON,바(BAR),4.76,서울 마포구 동교로 255-1 지층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1339-0606
에브르,바(BAR),정보 없음,서울 마포구 동교로46길 42-9 1층,휴무,정보 없음,20:00-27:00,정보 없음,20:00-27:00,정보 없음,20:00-27:00,정보 없음,20:00-27:00,정보 없음,20:00-27:00,정보 없음,휴무,정보 없음,0507-1339-9523
톨테일,바(BAR),4.89,서울 마포구 성미산로 190-3 2층,휴무,정보 없음,18:00-27:00,정보 없음,18:00-27:00,정보 없음,18:00-27:00,정보 없음,18:00-27:00,정보 없음,18:00-27:00,정보 없음,18:00-27:00,정보 없음,010-8313-5220
연남주점,요리주점,4.89,서울 마포구 성미산로 190-3 2층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-8313-5220
봄희,바(BAR),4.55,서울 마포구 성미산로23안길 21,휴무,정보 없음,휴무,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,14:00-24:00,정보 없음,14:00-24:00,정보 없음,070-4192-6764
반말포차,요리주점,4.55,서울 마포구 성미산로23안길 21,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,070-4192-6764
에이든,와인,5,서울 마포구 동교로38길 16 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1399-1725
수수하다,바(BAR),5,서울 마포구 동교로38길 16 1층,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,17:00-24:00,정보 없음,15:00-24:00,정보 없음,15:00-24:00,정보 없음,0507-1399-1725
이리,요리주점,정보 없음,서울 마포구 동교로38길 12 1층좌측 이리,18:30-26:00,정보 없음,18:30-26:00,정보 없음,18:30-26:00,정보 없음,18:30-26:00,정보 없음,18:30-26:00,정보 없음,18:30-26:00,정보 없음,휴무,정보 없음,0507-1384-7355
The Bad Journal,"맥주,호프",4.83,서울 마포구 동교로25길 57 1층,20:00-25:00,정보 없음,20:00-25:00,정보 없음,20:00-25:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,휴무,정보 없음,정보 없음
52nd Street,"맥주,호프",4.83,서울 마포구 동교로25길 57 1층,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,010-9490-6581
역전할머니맥주 연남점,"맥주,호프",4.5,서울 마포구 월드컵북로6길 93 1층,18:00-25:00,정보 없음,18:00-25:00,정보 없음,18:00-25:00,정보 없음,휴무,정보 없음,18:00-25:00,정보 없음,17:00-25:00,정보 없음,17:00-24:00,정보 없음,010-9490-6581
그로떼 와인&위스키,바(BAR),정보 없음,서울 마포구 성미산로29길 35 B01호,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,17:00-25:00,00:00,0507-1337-0085
페리캐시 와인,와인,4.41,서울 마포구 동교로 244-1,15:00-24:00,23:30,휴무,정보 없음,16:30-25:00,00:30,16:30-25:00,00:30,16:30-25:00,00:30,16:30-25:00,00:30,16:30-25:00,23:30,0507-1452-1229
로제드미네,와인,4.41,서울 마포구 동교로 244-1,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1452-1229
칠링,바(BAR),4.94,서울 마포구 동교로46길 42-5 신박사빌딩 3층 루프탑,휴무,정보 없음,16:00-25:00,정보 없음,16:00-25:00,정보 없음,16:00-25:00,정보 없음,15:00-26:00,정보 없음,15:00-26:00,정보 없음,15:00-25:00,정보 없음,0507-1361-4826
빠레트,바(BAR),4.94,서울 마포구 동교로46길 42-5 신박사빌딩 3층 루프탑,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,정보 없음,0507-1361-4826
소프트컬러,바(BAR),정보 없음,"서울 마포구 동교로51길 63 지층, 1층",휴무,정보 없음,17:00-23:00,정보 없음,13:00-23:00,정보 없음,13:00-23:00,정보 없음,13:00-24:00,정보 없음,12:00-24:00,정보 없음,12:00-24:00,정보 없음,070-8018-0580
토쿠이,이자카야,정보 없음,서울 마포구 동교로 282 지층,휴무,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,19:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,18:00-26:00,정보 없음,0507-1365-1808
주당,요리주점,정보 없음,서울 마포구 동교로38길 33 2층 202호,17:00-24:00,23:30,17:00-24:00,23:30,17:00-24:00,23:30,17:00-24:00,23:30,16:00-25:00,00:30,16:00-25:00,00:30,17:00-24:00,23:30,02-3144-2576
갤러리루즈,와인,정보 없음,서울 마포구 동교로 257 지하1층 갤러리루즈,18:30-26:00,01:30,18:30-26:00,01:30,18:30-26:00,01:30,18:30-26:00,01:30,11:00-28:00,03:30,11:00-28:00,03:30,11:00-26:00,01:30,0507-1378-7357
야반도주,요리주점,정보 없음,서울 마포구 연희로1길 45-4 . 지1층,17:00-24:00,23:30,17:00-24:00,23:30,17:00-24:00,23:30,17:00-24:00,23:30,17:00-24:00,23:30,17:00-24:00,23:30,17:00-24:00,23:30,0507-1419-1309
후레쉬 2호점,요리주점,정보 없음,"서울 마포구 연남로1길 37 . 1층 101호(연남동, 호산나빌)",11:30-22:00,15:00 - 17:00 브레이크타임,11:30-22:00,15:00 - 17:00 브레이크타임,11:30-22:00,15:00 - 17:00 브레이크타임,11:30-22:00,15:00 - 17:00 브레이크타임,11:30-24:00,15:00 - 17:00 브레이크타임,11:30-24:00,15:00 - 17:00 브레이크타임,11:30-22:00,15:00 - 17:00 브레이크타임,0507-1396-5411
vencoch,바(BAR),4.26,서울 마포구 동교로38길 9 3층,정보 없음,정보 없음,17:00-26:00,01:30,17:00-26:00,01:30,17:00-26:00,01:30,17:00-27:00,02:30,17:00-27:00,02:30,17:00-26:00,정보 없음,0507-1349-3575
